Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
31-May-2018 14:52:28.011	5.594064
31-May-2018 14:22:28.04901	5.589333
31-May-2018 13:52:28.05501	5.585146
31-May-2018 13:22:28.06201	5.575388
31-May-2018 12:52:28.08401	5.569816
31-May-2018 12:22:33.067	5.569735
31-May-2018 11:52:38.01201	5.570726
31-May-2018 11:22:38.08701	5.563739
31-May-2018 10:52:43.01701	5.561831
31-May-2018 10:22:43.02301	5.558515
31-May-2018 09:52:43.09801	5.553563
31-May-2018 09:22:48.02802	5.551331
31-May-2018 08:52:48.119	5.546703
31-May-2018 08:22:53.033	5.548478
31-May-2018 07:52:53.035	5.542129
31-May-2018 07:22:58.01701	5.540122
31-May-2018 06:52:58.093	5.539055
31-May-2018 06:23:03.091	5.537548
31-May-2018 05:53:03.11301	5.539207
31-May-2018 05:23:08.02701	5.540018
31-May-2018 04:53:08.03401	5.539694
31-May-2018 04:23:08.05602	5.538823
31-May-2018 03:53:08.078	5.544946
31-May-2018 03:23:08.084	5.546709
31-May-2018 02:53:08.106	5.548994
31-May-2018 02:23:13.03601	5.552195
31-May-2018 01:53:13.08	5.556056
31-May-2018 01:23:13.08601	5.561089
31-May-2018 00:53:18.08501	5.569607
31-May-2018 00:23:23.03001	5.510777
30-May-2018 23:53:23.037	5.472937
30-May-2018 23:23:23.043	5.478358
30-May-2018 22:53:23.065	5.478967
30-May-2018 22:23:28.03201	5.479368
30-May-2018 21:53:28.039	5.486685
30-May-2018 21:23:28.11401	5.4856
30-May-2018 20:53:33.04401	5.485009
30-May-2018 20:23:38.011	5.501221
30-May-2018 19:53:38.06401	5.517375
30-May-2018 19:23:43.03101	5.532782
30-May-2018 18:53:43.069	5.522472
30-May-2018 18:23:43.091	5.513456
30-May-2018 17:53:48.10501	5.505083
30-May-2018 17:23:53.01901	5.494988
30-May-2018 16:53:53.063	5.489213
30-May-2018 16:23:58.04001	5.508898
30-May-2018 15:53:58.04601	5.51832
30-May-2018 15:23:58.052	5.519191
30-May-2018 14:53:58.09601	5.625207
30-May-2018 14:24:03.04201	5.625352
30-May-2018 13:54:08.02501	5.61658
30-May-2018 13:24:13.007	5.706262
30-May-2018 12:54:13.061	5.804758
30-May-2018 12:24:13.11401	5.80001
30-May-2018 11:54:18.06601	5.791927
30-May-2018 11:24:23.048	5.784563
30-May-2018 10:54:23.05501	5.773841
30-May-2018 10:24:23.061	5.766693
30-May-2018 09:54:28.06001	5.758981
30-May-2018 09:24:33.04301	5.747083
30-May-2018 08:54:37.972	5.742693
30-May-2018 08:24:43.02	5.726898
30-May-2018 07:54:48.03401	5.708048
30-May-2018 07:24:48.078	5.706077
30-May-2018 06:54:53.02301	5.711603
30-May-2018 06:24:53.04501	5.709701
30-May-2018 05:54:53.089	5.708877
30-May-2018 05:24:58.05	5.708593
30-May-2018 04:55:03.01801	5.710715
30-May-2018 04:25:03.04001	5.709104
30-May-2018 03:55:08.05402	5.707155
30-May-2018 03:25:08.06001	5.708187
30-May-2018 02:55:13.05901	5.710588
30-May-2018 02:25:13.065	5.581934
30-May-2018 01:55:13.07101	5.514198
30-May-2018 01:25:13.10901	5.52006
30-May-2018 00:55:18.076	5.525023
30-May-2018 00:25:18.08301	5.531182
29-May-2018 23:55:23.028	5.535483
29-May-2018 23:25:23.03401	5.552606
29-May-2018 22:55:23.11002	5.560857
29-May-2018 22:25:28.039	5.560277
29-May-2018 21:55:33.022	5.554068
29-May-2018 21:25:33.04401	5.549214
29-May-2018 20:55:33.05101	5.469951
29-May-2018 20:25:33.07301	5.466924
29-May-2018 19:55:38.08701	5.473517
29-May-2018 19:25:38.093	5.470525
29-May-2018 18:55:38.10001	5.474932
29-May-2018 18:25:43.01401	5.477559
29-May-2018 17:55:48.01201	5.485021
29-May-2018 17:25:48.01801	5.493284
29-May-2018 16:55:48.041	5.49631
29-May-2018 16:25:48.08501	5.497528
29-May-2018 15:55:53.061	5.500021
29-May-2018 15:25:53.067	5.499795
